,Rep,Kfold,Num_Vars_,Precision_label_background,Recall_label_background,F1_score_label_background,Num_Obs_label_background,AUC_label_background,Accuracy_label_background,Precision_label_dos,Recall_label_dos,F1_score_label_dos,Num_Obs_label_dos,AUC_label_dos,Accuracy_label_dos,Precision_label_backdoor,Recall_label_backdoor,F1_score_label_backdoor,Num_Obs_label_backdoor,AUC_label_backdoor,Accuracy_label_backdoor,Precision_label_exploit,Recall_label_exploit,F1_score_label_exploit,Num_Obs_label_exploit,AUC_label_exploit,Accuracy_label_exploit,Precision_label_fuzzer,Recall_label_fuzzer,F1_score_label_fuzzer,Num_Obs_label_fuzzer,AUC_label_fuzzer,Accuracy_label_fuzzer,Precision_label_generic,Recall_label_generic,F1_score_label_generic,Num_Obs_label_generic,AUC_label_generic,Accuracy_label_generic,Precision_label_reconnaissance,Recall_label_reconnaissance,F1_score_label_reconnaissance,Num_Obs_label_reconnaissance,AUC_label_reconnaissance,Accuracy_label_reconnaissance,Precision_label_shellcode,Recall_label_shellcode,F1_score_label_shellcode,Num_Obs_label_shellcode,AUC_label_shellcode,Accuracy_label_shellcode,Precision_label_analysis,Recall_label_analysis,F1_score_label_analysis,Num_Obs_label_analysis,AUC_label_analysis,Accuracy_label_analysis,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,8.0,4.0,64.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,15999.0,1.0,1.0,2612.454054355621,122.30974817276,3.591627597808838,2763.8889899253845
0,12.0,3.0,73.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,16000.0,1.0,1.0,2841.080618858337,21.511080980300907,4.652567148208618,2876.689921379089
0,1.0,4.0,65.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,15999.0,1.0,1.0,2032.6424741744995,80.06661629676819,2.668196201324463,2129.9135146141048
0,14.0,1.0,73.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,1.0,5732.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,16001.0,1.0,1.0,4982.51173043251,55.64165163040161,3.937873363494873,5051.372131109239
0,12.0,1.0,69.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,16000.0,1.0,1.0,2522.3558402061467,103.55794239044191,8.520353078842161,2691.3611164093013
0,10.0,1.0,68.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2696.0,1.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,15998.0,1.0,1.0,2582.000320196152,132.58993339538574,5.0698814392089835,2747.100688695908
0,1.0,2.0,66.0,1.0,1.0,1.0,5695.0,1.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,15999.0,1.0,1.0,2019.219850540161,64.86383485794067,5.255150079727173,2121.6010689735413
0,3.0,3.0,72.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2696.0,1.0,1.0,1.0,1.0,1.0,1209.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,16000.0,1.0,1.0,2587.551207304001,69.9779748916626,14.572019100189207,2726.6147305965424
0,7.0,4.0,70.0,1.0,1.0,1.0,5694.0,1.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2696.0,1.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,1.0,5732.0,1.0,1.0,1.0,1.0,1.0,353.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,16001.0,1.0,1.0,2567.1802842617035,91.97498559951781,12.033213376998901,2732.932533979416
0,3.0,4.0,70.0,1.0,1.0,1.0,5695.0,1.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,2697.0,1.0,1.0,1.0,1.0,1.0,1210.0,1.0,1.0,1.0,1.0,1.0,5731.0,1.0,1.0,1.0,1.0,1.0,352.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,15999.0,1.0,1.0,2591.055801868439,88.53328728675842,14.566020727157593,2755.178669214249
