,AUC_label_analysis,AUC_label_backdoor,AUC_label_background,AUC_label_dos,AUC_label_exploit,AUC_label_fuzzer,AUC_label_generic,AUC_label_reconnaissance,AUC_label_shellcode,AUC_w,Accuracy_label_analysis,Accuracy_label_backdoor,Accuracy_label_background,Accuracy_label_dos,Accuracy_label_exploit,Accuracy_label_fuzzer,Accuracy_label_generic,Accuracy_label_reconnaissance,Accuracy_label_shellcode,Accuracy_w,F1_score_label_analysis,F1_score_label_backdoor,F1_score_label_background,F1_score_label_dos,F1_score_label_exploit,F1_score_label_fuzzer,F1_score_label_generic,F1_score_label_reconnaissance,F1_score_label_shellcode,F1_score_w,Hyper_time,Kfold,Num_Obs_label_analysis,Num_Obs_label_backdoor,Num_Obs_label_background,Num_Obs_label_dos,Num_Obs_label_exploit,Num_Obs_label_fuzzer,Num_Obs_label_generic,Num_Obs_label_reconnaissance,Num_Obs_label_shellcode,Num_Vars_,Precision_label_analysis,Precision_label_backdoor,Precision_label_background,Precision_label_dos,Precision_label_exploit,Precision_label_fuzzer,Precision_label_generic,Precision_label_reconnaissance,Precision_label_shellcode,Precision_w,Recall_label_analysis,Recall_label_backdoor,Recall_label_background,Recall_label_dos,Recall_label_exploit,Recall_label_fuzzer,Recall_label_generic,Recall_label_reconnaissance,Recall_label_shellcode,Recall_w,Rep,Testing_time,Total_Obs,Total_time,Training_time,Unnamed: 0
0,0.5454545454545454,0.5,0.9683003341030952,0.5608461913059858,0.6130782485660996,0.7188548773741471,0.9767892955368668,0.5038459750883063,0.5,0.874261741027029,0.999375,0.9991875,0.9630625,0.9818125,0.8466875,0.9431875,0.9805,0.977375,0.999375,0.9489100703125,0.16666666666666669,0.0,0.9500295933034582,0.1939058171745152,0.3643430940658201,0.547536087605774,0.9725303750660328,0.016304347826086956,0.0,0.7932001314037054,0.0,3.0,11.0,13.0,5695.0,281.0,2697.0,1210.0,5731.0,352.0,10.0,65.0,1.0,0.0,0.91617742987606,0.4375,0.6049913941480206,0.6883604505632039,0.9815176826017415,0.1875,0.0,0.8442014835833395,0.09090909090909093,0.0,0.9864793678665496,0.12455516014234876,0.26065999258435296,0.4545454545454545,0.9637061594835108,0.008522727272727272,0.0,0.7770625,18.0,0.04502367973327637,16000.0,4.183929681777953,3.2682995796203613,
0,0.5454545454545454,0.5,0.9677836012166334,0.5732061842645669,0.6170931332680742,0.7302141864430174,0.9759650492605196,0.50251329069255,0.5,0.8755005311614732,0.9993749609350584,0.99924995312207,0.9635602225139072,0.9820613788361772,0.8491780736296018,0.9452465779111194,0.979936246015376,0.9774360897556096,0.9993749609350584,0.9494643551167944,0.16666666666666669,0.0,0.9504714977487044,0.22641509433962265,0.3737347521411887,0.5684729064039408,0.9717105842954084,0.010958904109589043,0.0,0.796674628292088,0.0,4.0,11.0,12.0,5694.0,281.0,2697.0,1210.0,5731.0,353.0,10.0,64.0,1.0,0.0,0.9205199934178048,0.4666666666666667,0.6228373702422145,0.7036585365853658,0.9816595441595442,0.16666666666666666,0.0,0.8500229747845204,0.09090909090909093,0.0,0.9824376536705304,0.1494661921708185,0.26696329254727474,0.4768595041322314,0.9619612633048332,0.0056657223796034,0.0,0.7781111319457467,11.0,0.0896615982055664,15999.0,4.586143493652344,3.1971127986907963,
0,0.5454232759110808,0.5,0.9708000590192948,0.5610053154401311,0.6141192492225944,0.7229876778988339,0.9774024476458938,0.5039297621323509,0.5454545454545454,0.8758717470589868,0.9993125429660646,0.9992500468720704,0.9669395662771076,0.9821261171176802,0.8471970501843635,0.9438160114992812,0.9811886757077682,0.9775014061621148,0.9993750390600588,0.9506801417374384,0.15384615384615385,0.0,0.9549365363318852,0.19662921348314605,0.3667443667443667,0.5547300643883111,0.97348251255396,0.016393442622950817,0.16666666666666669,0.7963433612984535,0.0,2.0,11.0,12.0,5695.0,281.0,2697.0,1210.0,5731.0,353.0,11.0,68.0,0.5,0.0,0.9273659827928524,0.4666666666666667,0.6082474226804123,0.6922126081582199,0.9830960854092526,0.2307692307692308,1.0,0.8513585628473915,0.09090909090909093,0.0,0.9841966637401228,0.12455516014234876,0.2625139043381535,0.4628099173553719,0.9640551387192462,0.0084985835694051,0.09090909090909093,0.7773264170989314,20.0,0.015129327774047853,16001.0,3.8256373405456543,3.1716408729553223,
0,0.5454545454545454,0.5,0.969516623898391,0.5575607999418357,0.6146753965255503,0.7344140356720346,0.9788461586827754,0.5024813336428249,0.5,0.8767803271604868,0.9993749609350584,0.9991874492155759,0.9651853240827551,0.9818738671166948,0.847615475967248,0.9459966247890492,0.9822488905556598,0.9773735858491156,0.9993749609350584,0.9506608132631392,0.16666666666666669,0.0,0.952672274619764,0.1853932584269663,0.36806635562467604,0.5760549558390579,0.9750131972549708,0.010928961748633882,0.0,0.7975260573803574,0.0,4.0,11.0,13.0,5694.0,280.0,2697.0,1210.0,5731.0,353.0,10.0,65.0,1.0,0.0,0.9227983539094652,0.4342105263157895,0.611541774332472,0.7089371980676329,0.983318544809228,0.15384615384615385,0.0,0.8490431415822742,0.09090909090909093,0.0,0.9845451352300668,0.11785714285714285,0.2632554690396737,0.4851239669421488,0.9668469726051301,0.0056657223796034,0.0,0.7800487530470654,1.0,0.02716684341430664,15999.0,3.9060003757476807,3.059999227523804,
0,0.5,0.5,0.9670667999014964,0.5574784820992208,0.6179761721132379,0.7216733749312784,0.9774441271978968,0.5037700279339773,0.5,0.8749871238422817,0.9993125859267592,0.9992500937382828,0.9621297337832769,0.9820647419072616,0.8484564429446321,0.9441944756905388,0.9811898512685914,0.9771903512060992,0.9993125859267592,0.949203578805243,0.0,0.0,0.9487136086662152,0.18696883852691212,0.3754828740664434,0.5546134663341646,0.9734918538088948,0.016172506738544475,0.0,0.7952122266912254,0.0,5.0,11.0,12.0,5695.0,281.0,2697.0,1210.0,5732.0,353.0,11.0,69.0,0.0,0.0,0.9157000490115994,0.4583333333333333,0.6146711635750421,0.6993710691823899,0.982927263026854,0.16666666666666666,0.0,0.8461869124274195,0.0,0.0,0.9841966637401228,0.11743772241992882,0.2703003337041157,0.459504132231405,0.9642358688066992,0.0084985835694051,0.0,0.7782152230971129,3.0,0.02109503746032715,16002.0,2.9402945041656494,2.0696485042572017,
0,0.5454232661301788,0.5,0.9702239981637784,0.5609094604402485,0.6176088217576582,0.7197252264202963,0.9767487867107076,0.5024893366030543,0.5,0.8757761556126419,0.9993123280820204,0.9992498124531132,0.9654913728432108,0.9819329832458116,0.8480245061265317,0.9437984496124032,0.9804951237809452,0.9774318579644912,0.9993748437109278,0.9500505244778312,0.15384615384615385,0.0,0.9531727180183238,0.19498607242339835,0.3745819397993311,0.5507246376811595,0.9725255371609722,0.010958904109589043,0.0,0.7962583917736462,0.0,4.0,11.0,12.0,5694.0,281.0,2696.0,1209.0,5731.0,352.0,10.0,63.0,0.5,0.0,0.9218903839842468,0.4487179487179487,0.6112510495382032,0.6957070707070707,0.9816888888888888,0.15384615384615385,0.0,0.8470923441117754,0.09090909090909093,0.0,0.9866526167896033,0.12455516014234876,0.27002967359050445,0.4557485525227461,0.963531669865643,0.005681818181818182,0.0,0.7787571892973243,12.0,0.07331538200378418,15996.0,3.4485905170440674,1.948702573776245,
0,0.5,0.5,0.9702491808072952,0.5678362953098176,0.6183934219832625,0.7261908979702917,0.9768293829368729,0.5038018930885503,0.5,0.8765054154636658,0.9993124570285644,0.99924995312207,0.9656228514282142,0.9818113632102008,0.8498656166010375,0.9441215075942246,0.9807487967998001,0.9772485780361272,0.9993749609350584,0.9505117438487946,0.0,0.0,0.9533186216262096,0.21138211382113814,0.3767514270887389,0.5596059113300492,0.9728538692050062,0.016216216216216217,0.0,0.7976727424107306,0.0,4.0,11.0,12.0,5694.0,281.0,2697.0,1210.0,5731.0,353.0,10.0,65.0,0.0,0.0,0.9224704336399474,0.4431818181818182,0.6274848746758859,0.6926829268292682,0.9829029385574356,0.17647058823529413,0.0,0.8502321799511814,0.0,0.0,0.9863013698630136,0.1387900355871886,0.2691879866518353,0.4694214876033058,0.9630082010120398,0.0084985835694051,0.0,0.7794862178886179,9.0,0.005231857299804688,15999.0,2.7353076934814453,2.0503890514373784,
0,0.541635397123202,0.5,0.9701680342398284,0.5590352093817437,0.6166433621389835,0.7307304819670226,0.977664632381498,0.5040575862444124,0.5,0.8766357125706106,0.9992500937382828,0.9991876015498062,0.9655668041494812,0.9816897887764029,0.8482064741907261,0.945506811648544,0.9813773278340208,0.9777527809023872,0.9993125859267592,0.9505600170182452,0.14285714285714285,0.0,0.9532297767591884,0.1883656509695291,0.3725135623869801,0.5700197238658777,0.9737537431742116,0.01657458563535912,0.0,0.7975979163229365,0.0,5.0,12.0,13.0,5694.0,281.0,2697.0,1210.0,5731.0,353.0,11.0,66.0,0.5,0.0,0.9224576967307376,0.425,0.6141396933560477,0.7066014669926651,0.9831051040369908,0.3333333333333333,0.0,0.8524599219553723,0.08333333333333333,0.0,0.9861257463997192,0.1209964412811388,0.26733407489803485,0.4776859504132232,0.9645786075728494,0.0084985835694051,0.0,0.7799025121859767,2.0,0.054048776626586914,16002.0,3.9835419654846187,2.8932366371154785,
0,0.5,0.5,0.9713859784476524,0.5539893713704072,0.6177168319967944,0.7301415012826384,0.9770911173636748,0.5051863666337258,0.5454545454545454,0.8769893204102528,0.9993124570285644,0.9991874492155759,0.9669354334645917,0.9817488593037064,0.8487405462841427,0.9448090505656604,0.9809363085192824,0.9772485780361272,0.9993749609350584,0.9509117547860994,0.0,0.0,0.9550437664655392,0.1751412429378531,0.375,0.5665193912616594,0.9731253854965196,0.021505376344086027,0.16666666666666669,0.7981600108616835,0.0,2.0,11.0,13.0,5694.0,280.0,2697.0,1209.0,5731.0,353.0,11.0,70.0,0.0,0.0,0.9252428783138482,0.4189189189189189,0.617872340425532,0.6968599033816425,0.9829120683517266,0.21052631578947367,1.0,0.8508607053521997,0.0,0.0,0.9868282402528978,0.11071428571428572,0.2691879866518353,0.4772539288668321,0.963531669865643,0.0113314447592068,0.09090909090909093,0.7800487530470654,4.0,0.03649663925170898,15999.0,4.149325370788573,3.196958065032959,
0,0.5454545454545454,0.5,0.9691930625919978,0.5592257941232008,0.6097099736103982,0.7208866149679038,0.9771580718917616,0.5023854624936493,0.5,0.8742310974284523,0.9993749609350584,0.99924995312207,0.9651228201762609,0.9820613788361772,0.8462403900243766,0.9434339646227891,0.9808738046127884,0.9771860741296332,0.9993749609350584,0.9497185040719212,0.16666666666666669,0.0,0.952534875808098,0.19154929577464788,0.3566945606694561,0.5508684863523573,0.9730538922155688,0.010840108401084013,0.0,0.7930712407939373,0.0,4.0,11.0,12.0,5694.0,281.0,2697.0,1210.0,5731.0,353.0,10.0,64.0,1.0,0.0,0.9236225668096338,0.4594594594594595,0.6051464063886424,0.6894409937888198,0.9822222222222222,0.125,0.0,0.8462253278075104,0.09090909090909093,0.0,0.9833157709870038,0.1209964412811388,0.25287356321839083,0.4586776859504133,0.9640551387192462,0.0056657223796034,0.0,0.7749234327145447,8.0,0.005134105682373047,15999.0,2.621245622634888,2.08003044128418,
