,Rep,Kfold,Num_Vars_,Precision_label_category_background,Recall_label_category_background,F1_score_label_category_background,Num_Obs_label_category_background,AUC_label_category_background,Accuracy_label_category_background,Precision_label_category_dos,Recall_label_category_dos,F1_score_label_category_dos,Num_Obs_label_category_dos,AUC_label_category_dos,Accuracy_label_category_dos,Precision_label_category_r2l,Recall_label_category_r2l,F1_score_label_category_r2l,Num_Obs_label_category_r2l,AUC_label_category_r2l,Accuracy_label_category_r2l,Precision_label_category_u2r,Recall_label_category_u2r,F1_score_label_category_u2r,Num_Obs_label_category_u2r,AUC_label_category_u2r,Accuracy_label_category_u2r,Precision_label_category_probe,Recall_label_category_probe,F1_score_label_category_probe,Num_Obs_label_category_probe,AUC_label_category_probe,Accuracy_label_category_probe,Precision_w,Recall_w,F1_score_w,Total_Obs,AUC_w,Accuracy_w,Hyper_time,Training_time,Testing_time,Total_time
0,18.0,3.0,46.0,0.7173913043478259,0.5025380710659898,0.591044776119403,197.0,0.7501067299956522,0.9919288323318016,0.8037006734218641,0.9682311016756388,0.8783272577206134,13189.0,0.5720944147744111,0.7915635678095911,0.6633165829145728,0.2593320235756385,0.3728813559322034,509.0,0.6276313928992677,0.9738423471191232,0.0,0.0,0.0,16.0,0.5,0.9990573818781666,0.6294536817102138,0.08651648710414626,0.15212399540757748,3063.0,0.5376511700131471,0.82596912925651,0.76628838438196,0.7815482502651113,0.7279631454622123,16974.0,0.5695424870392866,0.8057591605700741,0.0,2.0993385314941406,0.020945072174072262,3.0296049118041988
0,11.0,4.0,49.0,0.7375886524822695,0.5306122448979592,0.6172106824925817,196.0,0.7642033565929949,0.9923992458166392,0.8018459220192127,0.9683069224353628,0.8772496222008517,13189.0,0.5670241987275941,0.7894178647183596,0.6844919786096256,0.2519685039370079,0.3683453237410072,508.0,0.6241924638246751,0.9741338675465472,0.0,0.0,0.0,16.0,0.5,0.999057270798963,0.6318407960199005,0.08292523669604962,0.14660894660894658,3063.0,0.5361423221369384,0.8257718595333491,0.7661538725395102,0.7811100636342211,0.7263257829895837,16972.0,0.5653758967263047,0.8040494106026151,0.0,1.6676030158996582,0.006609439849853516,2.3130884170532227
0,20.0,2.0,44.0,0.7322834645669292,0.4744897959183674,0.5758513931888546,196.0,0.7362314851424921,0.9919274055742148,0.8036354487703629,0.968835304822566,0.8785368033829546,13188.0,0.5717821779201384,0.7918213422897885,0.6614583333333334,0.25,0.3628571428571429,508.0,0.6230258762072526,0.9737198750810204,0.0,0.0,0.0,16.0,0.5,0.9990572152495434,0.634703196347032,0.09076069213189683,0.15881176806626676,3063.0,0.5396282609350885,0.8264686818690707,0.7673082659350042,0.7822167226445113,0.72887762125024,16971.0,0.5693443663812489,0.806025915865912,0.0,1.7059183120727541,0.004360675811767578,2.335415840148926
0,1.0,4.0,45.0,0.7404580152671756,0.4923857868020304,0.5914634146341463,197.0,0.7451796013941009,0.9921055732296452,0.8024335173105871,0.9700507999090152,0.8783166855456013,13189.0,0.5689091516057625,0.7911511723812891,0.6811594202898551,0.2770137524557957,0.393854748603352,509.0,0.6365026247854442,0.9744314834452692,0.0,0.0,0.0,16.0,0.5,0.9990573818781666,0.6363636363636364,0.08455762324518445,0.14927953890489912,3063.0,0.5369592803164317,0.8260869565217391,0.7673534730721292,0.7830210910804759,0.7280754302491266,16974.0,0.5671514842481479,0.8054797043403349,0.0,2.266687631607056,0.04902911186218262,3.0709421634674072
0,3.0,5.0,43.0,0.7338129496402878,0.5177664974619289,0.6071428571428572,197.0,0.7577805486057929,0.9922234004948746,0.8028275212064091,0.9687618469937068,0.8780236393622869,13189.0,0.5698498799037227,0.7908566042182161,0.6778846153846154,0.2770137524557957,0.393305439330544,509.0,0.6364722573393463,0.9743725698126546,0.0,0.0,0.0,16.0,0.5,0.9990573818781666,0.6408450704225352,0.08912830558276198,0.15649183147033535,3063.0,0.5390649075897421,0.8266171792152704,0.7682929803349513,0.7831389183457051,0.7293147090149187,16974.0,0.5684077427276215,0.8053461022158953,0.0,1.9125335216522217,0.01535177230834961,2.514964818954468
0,12.0,4.0,43.0,0.7388059701492538,0.5025380710659898,0.5981873111782477,197.0,0.7502259408199949,0.99216448686226,0.8031179280864974,0.9686860262339828,0.8781661339657009,13189.0,0.5706045719016677,0.7911511723812891,0.676923076923077,0.2593320235756385,0.3750000000000001,509.0,0.6277528626836589,0.9740780016495816,0.0,0.0,0.0,16.0,0.5,0.9990573818781666,0.6284403669724771,0.08945478289258897,0.1566161760503001,3063.0,0.5389046612327943,0.8261458701543537,0.7663092859575091,0.7824319547543301,0.7287950034416056,16974.0,0.5686160830455205,0.8054804193284529,0.0,1.9048147201538088,0.020278453826904297,2.6562159061431885
0,9.0,4.0,48.0,0.7388059701492538,0.5051020408163265,0.6,196.0,0.7515079256951633,0.9922229423201556,0.8027010050251256,0.968913488513155,0.8780102373836272,13189.0,0.5694197463707424,0.790785364991457,0.6961325966850829,0.2475442043222004,0.3652173913043478,509.0,0.6221017911795648,0.9741943086077888,0.0,0.0,0.0,16.0,0.5,0.9990573263418372,0.6195121951219512,0.08292523669604962,0.1462712352433055,3063.0,0.5358551417125107,0.8253107877216757,0.7649517981969527,0.7811229599952866,0.7265422415941093,16973.0,0.5669797147879452,0.8050386283309611,0.0,1.9503629207611084,0.020647287368774414,2.683441400527954
0,2.0,5.0,45.0,0.7318840579710145,0.5126903553299492,0.6029850746268657,197.0,0.7552424775398032,0.99216448686226,0.8025009425662938,0.9683069224353628,0.8776414802597671,13189.0,0.5689619156430447,0.7902085542594557,0.6633165829145728,0.2593320235756385,0.3728813559322034,509.0,0.6276313928992677,0.9738423471191232,0.0,0.0,0.0,16.0,0.5,0.9990573818781666,0.6405867970660146,0.08553705517466538,0.15092165898617513,3063.0,0.5374849390602677,0.8263226110521975,0.7675333799366006,0.7815482502651113,0.7273519025858197,16974.0,0.5671381065640854,0.8047728205777303,0.0,2.3752658367156982,0.0041408538818359375,3.119706153869629
0,4.0,2.0,47.0,0.7430555555555556,0.5431472081218274,0.6275659824046921,197.0,0.7704709039357422,0.9925179686579476,0.8024211252587342,0.9699749791492912,0.8782781820678291,13189.0,0.5688712412259005,0.7910922587486744,0.6943005181347149,0.2632612966601179,0.3817663817663817,509.0,0.6298389690102897,0.9744314834452692,0.0,0.0,0.0,16.0,0.5,0.9990573818781666,0.6372795969773299,0.08259875938622266,0.146242774566474,3063.0,0.5361236195033335,0.82596912925651,0.7679333412721823,0.7827854365500176,0.7275540325581785,16974.0,0.5670649375732704,0.8054174517826244,0.0,1.7256016731262207,0.00768733024597168,2.3626468181610107
0,8.0,4.0,50.0,0.7375886524822695,0.5279187817258884,0.6153846153846154,197.0,0.7628566250069594,0.992340776527426,0.8031911552233181,0.9695177434030936,0.8785515511732573,13188.0,0.570888330089922,0.7917280386496199,0.6748768472906403,0.2691552062868369,0.3848314606741573,509.0,0.6325732299655761,0.9741943086077888,0.0,0.0,0.0,16.0,0.5,0.9990573263418372,0.6223776223776224,0.0871694417238002,0.15292096219931273,3063.0,0.5377615720480972,0.8257232074471219,0.7651944200929547,0.7832439757261533,0.7289132591058345,16973.0,0.5689213174800013,0.8058587469157167,0.0,1.7643911838531494,0.00303339958190918,2.29628324508667
